               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.6571,              3.4451,              1.2997,             0.75147,             0.83072,             0.74212,              0.2675,                   0,                   0,                   0,            0.070091,           0.0033232,           0.0033232
                   1,              2.5777,               1.666,              1.2622,             0.72561,             0.91209,             0.80565,             0.29617,                   0,                   0,                   0,            0.040085,             0.00665,             0.00665
                   2,              2.6611,              1.7002,              1.2866,             0.63398,             0.89011,             0.71465,              0.2781,                   0,                   0,                   0,            0.010052,           0.0099508,           0.0099508
                   3,              2.6116,              1.6405,              1.2659,             0.65345,             0.89011,             0.74933,             0.29834,                   0,                   0,                   0,           0.0099123,           0.0099123,           0.0099123
                   4,               2.591,              1.5743,              1.2782,             0.56076,             0.91189,             0.65159,             0.26577,                   0,                   0,                   0,           0.0099123,           0.0099123,           0.0099123
                   5,              2.5243,              1.5757,              1.2726,             0.56708,             0.89011,             0.71448,              0.3014,                   0,                   0,                   0,           0.0098445,           0.0098445,           0.0098445
                   6,               2.466,              1.5284,              1.2554,             0.80178,             0.82418,             0.84782,             0.33664,                   0,                   0,                   0,           0.0097577,           0.0097577,           0.0097577
                   7,              2.4224,               1.516,              1.2398,             0.77537,             0.91036,             0.84912,             0.35335,                   0,                   0,                   0,           0.0096524,           0.0096524,           0.0096524
                   8,              2.4173,              1.5216,              1.2347,             0.52763,             0.92308,             0.67344,             0.31629,                   0,                   0,                   0,           0.0095289,           0.0095289,           0.0095289
                   9,              2.3905,              1.4819,              1.2334,             0.74164,             0.92308,             0.85354,             0.35041,                   0,                   0,                   0,           0.0093877,           0.0093877,           0.0093877
                  10,              2.3567,              1.5108,              1.2414,             0.64272,             0.86813,             0.76032,             0.33278,                   0,                   0,                   0,           0.0092294,           0.0092294,           0.0092294
                  11,              2.3257,              1.4766,              1.2226,             0.62994,             0.89793,              0.7114,             0.32138,                   0,                   0,                   0,           0.0090546,           0.0090546,           0.0090546
                  12,              2.3401,              1.4853,              1.2199,             0.59789,             0.84965,             0.73693,             0.32934,                   0,                   0,                   0,            0.008864,            0.008864,            0.008864
                  13,              2.3189,              1.4608,              1.2114,             0.62039,             0.86813,             0.78078,             0.33638,                   0,                   0,                   0,           0.0086584,           0.0086584,           0.0086584
                  14,              2.2996,              1.4557,              1.2139,             0.65301,             0.83516,             0.73369,             0.33724,                   0,                   0,                   0,           0.0084385,           0.0084385,           0.0084385
                  15,              2.3017,              1.4578,              1.2148,             0.61504,             0.95604,             0.81987,             0.34786,                   0,                   0,                   0,           0.0082052,           0.0082052,           0.0082052
                  16,              2.3012,               1.463,              1.2042,             0.56288,             0.91209,             0.73926,             0.32458,                   0,                   0,                   0,           0.0079595,           0.0079595,           0.0079595
                  17,              2.2658,              1.4251,               1.196,             0.54985,             0.94505,             0.73646,             0.34092,                   0,                   0,                   0,           0.0077023,           0.0077023,           0.0077023
                  18,              2.2719,              1.4339,              1.2072,             0.55778,             0.91209,             0.70555,             0.34324,                   0,                   0,                   0,           0.0074347,           0.0074347,           0.0074347
                  19,              2.2668,              1.4369,              1.1971,             0.60692,              0.9011,             0.80694,              0.3701,                   0,                   0,                   0,           0.0071576,           0.0071576,           0.0071576
                  20,              2.2233,               1.423,              1.1934,             0.55689,             0.93914,             0.69265,             0.34349,                   0,                   0,                   0,           0.0068722,           0.0068722,           0.0068722
                  21,              2.2199,              1.4145,              1.1915,             0.57362,             0.95604,             0.79034,              0.3564,                   0,                   0,                   0,           0.0065796,           0.0065796,           0.0065796
                  22,              2.2462,              1.4211,              1.1981,             0.67246,             0.95604,             0.79809,               0.392,                   0,                   0,                   0,            0.006281,            0.006281,            0.006281
                  23,              2.2294,              1.4169,              1.1875,             0.53034,             0.94307,             0.67923,             0.32781,                   0,                   0,                   0,           0.0059775,           0.0059775,           0.0059775
                  24,              2.2056,              1.4163,              1.1953,             0.59837,             0.91685,             0.75486,              0.3382,                   0,                   0,                   0,           0.0056704,           0.0056704,           0.0056704
                  25,              2.1958,              1.4173,              1.1853,             0.60181,             0.94505,             0.78749,             0.35076,                   0,                   0,                   0,           0.0053608,           0.0053608,           0.0053608
                  26,              2.2192,              1.4124,               1.187,              0.6924,             0.89011,             0.78909,             0.36344,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  27,              2.1797,              1.4138,              1.1751,             0.53306,             0.91581,             0.64969,             0.33476,                   0,                   0,                   0,           0.0047392,           0.0047392,           0.0047392
                  28,              2.1774,              1.4009,              1.1772,             0.71815,             0.92308,             0.83518,             0.37873,                   0,                   0,                   0,           0.0044296,           0.0044296,           0.0044296
                  29,              2.1489,              1.3936,              1.1779,             0.58904,             0.92308,              0.7244,             0.36531,                   0,                   0,                   0,           0.0041225,           0.0041225,           0.0041225
                  30,              2.1513,              1.3914,              1.1718,             0.65918,             0.92308,             0.83899,             0.38196,                   0,                   0,                   0,            0.003819,            0.003819,            0.003819
                  31,              2.1432,              1.4022,              1.1797,             0.62288,             0.89011,             0.74881,             0.36581,                   0,                   0,                   0,           0.0035204,           0.0035204,           0.0035204
                  32,              2.1588,              1.3893,              1.1846,             0.59306,              0.9289,             0.75215,             0.36607,                   0,                   0,                   0,           0.0032278,           0.0032278,           0.0032278
                  33,              2.1321,              1.3763,              1.1696,             0.62243,             0.93407,             0.79323,             0.37961,                   0,                   0,                   0,           0.0029424,           0.0029424,           0.0029424
                  34,              2.1331,              1.3781,              1.1667,             0.56411,             0.93407,             0.69584,             0.37202,                   0,                   0,                   0,           0.0026653,           0.0026653,           0.0026653
                  35,              2.1244,              1.3784,              1.1704,             0.64677,             0.92558,             0.83414,             0.40212,                   0,                   0,                   0,           0.0023977,           0.0023977,           0.0023977
                  36,              2.1029,              1.3778,              1.1667,             0.59921,             0.92308,             0.75968,             0.36795,                   0,                   0,                   0,           0.0021405,           0.0021405,           0.0021405
                  37,              2.1063,              1.3722,              1.1652,             0.56891,             0.91209,             0.73715,             0.38328,                   0,                   0,                   0,           0.0018948,           0.0018948,           0.0018948
                  38,              2.1215,              1.3674,              1.1582,             0.63625,              0.9011,             0.81671,             0.39498,                   0,                   0,                   0,           0.0016615,           0.0016615,           0.0016615
                  39,              2.0977,              1.3672,              1.1637,             0.56342,             0.95604,             0.74458,             0.38111,                   0,                   0,                   0,           0.0014416,           0.0014416,           0.0014416
                  40,              2.0807,              1.3647,              1.1634,             0.61197,             0.90123,             0.79533,             0.40061,                   0,                   0,                   0,            0.001236,            0.001236,            0.001236
                  41,              2.0718,              1.3459,              1.1554,             0.60914,              0.9011,             0.79802,             0.40041,                   0,                   0,                   0,           0.0010454,           0.0010454,           0.0010454
                  42,              2.0817,              1.3583,               1.162,             0.57248,              0.9565,             0.76508,             0.38106,                   0,                   0,                   0,          0.00087058,          0.00087058,          0.00087058
                  43,              2.0841,              1.3551,              1.1587,              0.5793,             0.96703,             0.75486,             0.36916,                   0,                   0,                   0,          0.00071228,          0.00071228,          0.00071228
                  44,              2.0669,              1.3619,              1.1475,             0.58772,             0.93993,             0.74676,             0.39211,                   0,                   0,                   0,          0.00057111,          0.00057111,          0.00057111
                  45,              2.0603,              1.3503,              1.1544,             0.60422,             0.92308,             0.80785,             0.40071,                   0,                   0,                   0,          0.00044761,          0.00044761,          0.00044761
                  46,              2.0524,              1.3616,               1.146,             0.62817,              0.9097,             0.80751,             0.40646,                   0,                   0,                   0,          0.00034227,          0.00034227,          0.00034227
                  47,              2.0645,              1.3602,              1.1498,             0.60721,             0.95604,             0.79765,             0.39706,                   0,                   0,                   0,          0.00025551,          0.00025551,          0.00025551
                  48,              2.0634,              1.3518,              1.1551,             0.59279,             0.95604,             0.77323,             0.39118,                   0,                   0,                   0,          0.00018768,          0.00018768,          0.00018768
                  49,              2.0402,               1.348,              1.1573,             0.57418,             0.95604,             0.77079,               0.399,                   0,                   0,                   0,          0.00013903,          0.00013903,          0.00013903
